case_id,유형,입력채널,평가용_제시문구,문구_성격,참고_출처,출처_URL,기대판단,위험행동,위험단서,필요한_확인질문,정답근거,검수상태
S25,사칭,문자,건강보험공단입니다. 환급금 32만원이 미수령 상태입니다. 오늘까지 신청하지 않으면 국고로 환수됩니다.,공개 경보 수법 재구성,[끈질긴 피싱을 끊어낼 끊내주는 선택] 피싱 수법,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=248,의심,없음,공단 사칭|환급금 미끼|환수 위협,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S26,사칭,문자,의원실 보좌관입니다. 행사용 물품을 대량 주문하려 하니 견적서를 보내 주시고 선입금 계좌를 알려주세요.,공개 경보 수법 재구성,정당관계자 사칭 노쇼 사기 주의,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=59,의심,확인 필요,정당 사칭|선입금 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S27,사칭,문자,국세청입니다. 종합소득세 환급금이 발생했습니다. 환급 계좌 확인을 위해 카드번호 앞 8자리를 입력해 주세요.,공개 경보 수법 재구성,[끈질긴 피싱을 끊어낼 끊내주는 선택] 공무원 사칭 수법,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=308,의심,개인정보요구,국세청 사칭|카드번호 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S28,사칭,사진,금융감독원 자산보호팀 공문입니다. 귀하의 예금이 범죄 자금으로 의심되어 지정 계좌로 예치가 필요합니다.,공개 경보 수법 재구성,"24. 10. 24. 기관사칭형 보이스피싱, 60대 여성을 노린다",https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=4,의심,계좌이체,금감원 사칭|예치 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S29,사칭,문자,서민금융진흥원 햇살론 사전승인 안내입니다. 신용등급 상향 작업비 30만원을 먼저 납부해 주세요.,공개 경보 수법 재구성,[2026 끊기능력평가 : 대출빙자 사기 영역],https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=309,의심,계좌이체,정책금융 사칭|작업비 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S30,사칭,링크,노인일자리 참여자 추가 모집 마감 임박. 아래 사이트에서 신분증 사진을 업로드해 신청하세요.,공개 경보 수법 재구성,"KISA, 긴급재난지원금 사칭한 가짜 사이트 주의하세요!",https://www.kisa.or.kr/402/form?postSeq=1908&page=70,의심,개인정보요구,가짜 사이트|신분증 업로드 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S31,사칭,문자,국민건강보험공단입니다. 자격 변동 확인이 필요하니 원격지원 앱을 설치하고 상담원 안내에 따라 주세요.,공개 경보 수법 재구성,"“등본 발급 시도됐다” 주민센터 전화, 피싱일 수 있습니다",https://www.kisa.or.kr/402/form?postSeq=2588&page=4,의심,앱설치,공단 사칭|원격제어 앱,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S32,사칭,문자,정부 난방비 특별지원금 대상자로 선정되셨습니다. 지금 링크에서 본인인증하고 15만원을 받으세요.,공개 경보 수법 재구성,"KISA, 민생회복 소비쿠폰 사칭 범죄 집중 대응",https://www.kisa.or.kr/402/form?postSeq=2516&page=11,의심,인증번호,지원금 사칭|본인인증 유도,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S33,사칭,문자,퇴직연금 전문 상담사입니다. 원금 보장에 연 24% 확정 수익을 드립니다. 오늘 상담자에 한해 가입 가능합니다.,공개 경보 수법 재구성,[끈 떨어지는 상담소] 고수익을 약속하는 투자의 함정,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=315,의심,없음,확정수익 표현|당일 한정,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S34,사칭,문자,아버지 저 사고가 나서 합의금이 급합니다. 지금 통화는 못 하니 문자로만 연락 주시고 이 계좌로 보내주세요.,공개 경보 수법 재구성,24. 11. 8. 딥페이크를 악용한 자녀납치형 전화금융사기 주의,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=5,의심,계좌이체,가족 사칭|통화 회피|송금 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S35,사칭,사진,보건소 명의 공문 이미지. 예방접종 지원 물품 납품 건으로 선결제를 요청하는 내용.,공개 경보 수법 재구성,"경찰, 기관 사칭 노쇼 사기 특별경보 발령",https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=51,의심,계좌이체,보건소 사칭|선결제 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S36,사칭,문자,고객님 명의로 해외 결제 88만원이 승인되었습니다. 본인이 아니면 아래 번호로 즉시 신고하세요.,공개 경보 수법 재구성,KISA 보안공지를 사칭한 스미싱 문자 주의,https://www.kisa.or.kr/402/form?postSeq=1880&page=73,의심,없음,결제 사칭|회신 유도,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S37,사칭,문자,모바일 신분증 발급이 신청되었습니다. 본인이 아닐 경우 링크를 눌러 취소해 주세요.,공개 경보 수법 재구성,[2026 끊기능력평가 : 스미싱 영역],https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=299,의심,없음,신분증 사칭|취소 유도 링크,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S38,사칭,문자,복지로 시스템 점검으로 기초연금 지급이 보류되었습니다. 임시 페이지에서 정보를 다시 입력해 주세요.,공개 경보 수법 재구성,25. 10. 2. 국가정보자원관리원 화재 상황을 악용한 보이스피싱·스미싱 주의,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=86,의심,개인정보요구,시스템 점검 사칭|정보 재입력,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S39,사칭,문자,장기요양 등급 심사 결과 통보입니다. 결과 확인을 위해 아래 앱을 설치하고 공동인증서를 등록해 주세요.,공개 경보 수법 재구성,[끈질긴 피싱을 끊어낼 끊내주는 선택] 피싱 수법,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=248,의심,앱설치,등급심사 사칭|인증서 등록 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S40,사칭,문자,지자체 어르신 행사 진행업체입니다. 참가비 입금 후 기념품이 지급되오니 안내 계좌로 송금 바랍니다.,공개 경보 수법 재구성,정당관계자 사칭 노쇼 사기 주의,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=59,의심,계좌이체,지자체 행사 사칭|입금 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
B11,경계,문자,기초연금 수급 안내입니다. 자세한 내용은 아래 단축 주소에서 확인하세요.,경계-실사용특성,기초연금,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001164&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|단축링크,단축 링크의 최종 도메인이 bokjiro.go.kr인가|공식 페이지에 같은 안내가 있는가,제도는 실재하나 단축 링크의 도착지를 확인할 수 없음,1차검수
B12,경계,문자,에너지바우처 신청이 오늘 자정 마감됩니다. 서두르지 않으면 올해는 지원받으실 수 없습니다.,경계-실사용특성,에너지바우처,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000072&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|마감 압박,공식 공고의 실제 신청 마감일이 언제인가|이 문자가 공단·주민센터 발신인가,제도는 실재하나 마감 문구가 공고와 일치하는지 확인 필요,1차검수
B13,경계,문자,축하합니다. 노인일자리 참여 대상자로 선정되셨습니다. 아래에서 선정 결과를 확인하세요.,경계-실사용특성,노인일자리 및 사회활동 지원사업,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001155&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|당첨형 표현,실제 선정 통보가 문자로 오는가|주민센터에 같은 선정 내역이 있는가,제도는 실재하나 '선정' 통보 경로를 확인할 수 없음,1차검수
B14,경계,문자,응급안전안심서비스 장비 점검이 필요합니다. 전용 앱을 설치하시면 원격으로 점검해 드립니다.,경계-실사용특성,독거노인·장애인 응급안전안심서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001093&wlfareInfoReldBztpCd=01,확인불가,앱설치,실재 제도명|앱 설치 유도,공식 안내에 전용 앱이 있는가|설치를 요구하는 발신자가 누구인가,제도는 실재하나 앱 설치 요구는 공식 안내에 없음,1차검수
B15,경계,문자,본인부담금 감경 대상 여부를 확인해 드립니다. 본인인증 후 조회하실 수 있습니다.,경계-실사용특성,장기요양 본인부담금 감경,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001177&wlfareInfoReldBztpCd=01,확인불가,인증번호,실재 제도명|본인인증 요구,인증을 요구하는 곳이 공단 공식 창구인가|주민센터 방문으로도 확인되는가,제도는 실재하나 인증 요구 주체를 확인할 수 없음,1차검수
B16,경계,링크,국가암검진 대상 확인 페이지입니다. 짧은 주소로 안내드립니다.,경계-실사용특성,암검진,https://www.cancer.go.kr/lay1/S1T261C262/contents.do,확인불가,없음,실재 제도명|단축링크,단축 주소의 최종 도메인이 공식 기관인가|공단 홈페이지에서도 같은 조회가 되는가,검진 제도는 실재하나 링크 도착지 확인 필요,1차검수
B17,경계,문자,긴급복지 주거지원 접수가 곧 종료됩니다. 지금 신청하지 않으면 순번이 밀립니다.,경계-실사용특성,긴급복지 주거지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000917&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|긴급성 표현,긴급복지에 접수 마감이 있는가|관할 주민센터 안내와 같은가,제도는 상시 운영이라 '마감' 표현의 근거 확인 필요,1차검수
B18,경계,사진,생계급여 선정 결과 안내문 사진. 하단에 앱을 설치해 상세 내역을 보라는 문구가 있음.,경계-실사용특성,생계급여(맞춤형 급여),https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001132&wlfareInfoReldBztpCd=01,확인불가,앱설치,실재 제도명|앱 설치 유도,공식 안내문에 앱 설치 문구가 있는가|발행기관이 표시되어 있는가,제도는 실재하나 앱 설치 문구는 공식 안내에 없음,1차검수
B19,경계,문자,틀니 지원 대상자로 확인되셨습니다. 본인인증을 마치면 대상 병원을 안내해 드립니다.,경계-실사용특성,의료급여 틀니·치과임플란트,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001169&wlfareInfoReldBztpCd=01,확인불가,인증번호,실재 제도명|본인인증 요구,대상자 통보가 문자로 오는가|인증 요구 주체가 공단인가,제도는 실재하나 통보 경로와 인증 주체 확인 필요,1차검수
B20,경계,문자,에너지효율개선 시공 대상에 당첨되셨습니다. 단축 주소에서 일정을 선택해 주세요.,경계-실사용특성,저소득층에너지효율개선,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001128&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|당첨형 표현|단축링크,'당첨'이라는 절차가 제도에 있는가|링크 도착지가 공식 기관인가,제도는 실재하나 '당첨' 절차와 링크 도착지 확인 필요,1차검수
B21,경계,문자,암환자 의료비 지원 신청 안내입니다. 신청서에 주민등록번호를 적어 회신해 주시기 바랍니다.,경계-공개경보,암환자의료비지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001184&wlfareInfoReldBztpCd=01,확인불가,개인정보요구,실재 제도명|주민번호 요구,공식 신청이 문자 회신으로 이뤄지는가|보건소 창구 접수와 절차가 같은가,제도는 실재하나 주민번호 회신 요구는 공식 절차와 다름,1차검수
B22,경계,문자,주택연금 상담 안내입니다. 상담 예약을 위해 보유 주택 주소와 시세를 먼저 알려 주세요.,경계-공개경보,주택담보노후연금보증,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001108&wlfareInfoReldBztpCd=01,확인불가,개인정보요구,실재 제도명|자산정보 요구,공사 공식 창구에서도 같은 정보를 먼저 요구하는가|발신 번호가 대표번호인가,제도는 실재하나 사전 자산정보 요구의 근거 확인 필요,1차검수
B23,경계,문자,보조기기 보급 신청이 승인되었습니다. 자부담금을 안내 계좌로 입금하시면 배송됩니다.,경계-공개경보,정보통신보조기기 보급,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001062&wlfareInfoReldBztpCd=01,확인불가,계좌이체,실재 제도명|계좌 입금 요구,자부담금 납부 방식이 계좌 이체가 맞는가|공고에 안내된 납부처와 같은가,제도에 자부담이 있으나 납부처가 공고와 같은지 확인 필요,1차검수
B24,경계,사진,무릎인공관절 수술비 지원 안내문 사진. 지정 병원이라며 특정 의원 연락처만 적혀 있음.,경계-공개경보,노인 무릎인공관절 수술 지원 사업,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001179&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|특정 병원 유도,해당 사업에 지정 병원 제도가 있는가|공식 목록에 이 의원이 있는가,사업은 실재하나 '지정 병원' 표현의 근거 확인 필요,1차검수
B25,경계,문자,연료비 지원 대상 확인을 위해 통장 사본과 신분증 사진을 문자로 보내 주세요.,경계-공개경보,긴급복지 연료비 및 전기요금,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001162&wlfareInfoReldBztpCd=01,확인불가,개인정보요구,실재 제도명|신분증 사진 요구,공식 접수에 사진 전송 절차가 있는가|주민센터 방문 접수가 원칙 아닌가,제도는 실재하나 사진 전송 요구는 공식 절차와 다름,1차검수
B26,경계,문자,의료비 지원 대상자 확대 안내입니다. 자세한 조건은 상담원이 전화로 안내드립니다.,경계-공개경보,희귀질환자 의료비 지원사업,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000864&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|전화 유도,대상 확대가 공식 공고에 있는가|상담 전화번호가 공식 대표번호인가,제도는 실재하나 '대상 확대' 사실과 연락처 확인 필요,1차검수
B27,경계,문자,개안수술 지원 신청이 접수되었습니다. 접수번호 확인을 위해 생년월일 뒤 7자리를 회신해 주세요.,경계-공개경보,노인 안검진 및 개안수술,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001115&wlfareInfoReldBztpCd=01,확인불가,개인정보요구,실재 제도명|주민번호 뒷자리 요구,접수 확인에 주민번호 뒷자리가 필요한가|신청한 적이 있는가,제도는 실재하나 뒷자리 요구는 공식 절차와 다름,1차검수
B28,경계,사진,주거상향 지원 공고문 사진. 발행 날짜와 기관 로고가 잘려 있고 담당 연락처만 남아 있음.,경계-공개경보,주거취약계층 주거상향 지원사업,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000036&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|발행정보 누락,누가 언제 발행했는가|현재 공고가 유효한가|연락처가 관할 기관인가,제도는 실재하나 잘린 이미지로 발행 주체·시점 확정 불가,1차검수
B29,경계,문자,보훈 교통 감면 재등록이 필요합니다. 등록이 늦어지면 감면이 중단될 수 있습니다.,경계-공개경보,"교통시설 이용지원(버스,내항여객선,KTX등)",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000101&wlfareInfoReldBztpCd=01,확인불가,확인 필요,실재 제도명|중단 위협,재등록 절차가 실제로 있는가|보훈지청 안내와 같은가,제도는 실재하나 '재등록' 절차의 근거 확인 필요,1차검수
B30,경계,문자,장기요양 급여 이용 내역에 오류가 있어 정정이 필요합니다. 상담을 위해 가족 연락처를 알려 주세요.,경계-공개경보,장기요양급여이용지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001170&wlfareInfoReldBztpCd=01,확인불가,개인정보요구,실재 제도명|제3자 정보 요구,공단이 가족 연락처를 문자로 요구하는가|공식 창구로 확인되는가,제도는 실재하나 제3자 정보 요구의 근거 확인 필요,1차검수
B31,경계,문자,기초연금은 만 60세 이상이면 소득과 관계없이 누구나 매달 받으실 수 있습니다.,경계-코퍼스파생,기초연금,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001164&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|연령 조건 변형|소득조건 삭제,실제 지급 연령이 몇 세인가|소득인정액 기준이 있는가,원문은 만 65세 이상·선정기준액 이하 조건이 있어 조건이 다름,1차검수
B32,경계,문자,에너지바우처는 모든 세대에 연 50만원씩 지급됩니다.,경계-코퍼스파생,에너지바우처,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000072&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|대상 확대 변형|금액 변형,지원 대상이 누구인가|실제 지원 금액이 얼마인가,원문은 수급 가구 중 노인·영유아 등 세대가 대상이라 대상·금액이 다름,1차검수
B33,경계,문자,복지용구는 등급과 상관없이 한도 없이 무료로 대여하실 수 있습니다.,경계-코퍼스파생,노인장기요양보험 복지용구 급여,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000103&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|등급조건 삭제|한도 삭제,등급 판정이 필요한가|연간 한도가 있는가,원문은 장기요양 등급과 연간 한도가 전제라 조건이 다름,1차검수
B34,경계,사진,생계급여 안내문 사진. 가구원 수 구분 없이 일괄 금액이 적혀 있음.,경계-코퍼스파생,생계급여(맞춤형 급여),https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001132&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|산정방식 변형,가구원 수별 기준이 맞는가|이 금액이 어느 해 기준인가,원문은 가구원 수별 선정기준으로 산정하므로 방식이 다름,1차검수
B35,경계,문자,임플란트는 나이 제한 없이 개수 제한도 없이 지원됩니다.,경계-코퍼스파생,의료급여 틀니·치과임플란트,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001169&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|연령조건 삭제|개수조건 삭제,적용 연령 기준이 있는가|지원 개수 한도가 있는가,원문은 연령과 적용 개수 기준이 있어 조건이 다름,1차검수
B36,경계,문자,무릎인공관절 수술 지원은 만 50세 이상이면 소득 기준 없이 신청할 수 있습니다.,경계-코퍼스파생,노인 무릎인공관절 수술 지원 사업,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001179&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|연령 변형|소득조건 삭제,지원 연령 기준이 몇 세인가|소득 기준이 있는가,원문은 만 60세 이상이며 별도 기준이 있어 조건이 다름,1차검수
B37,경계,문자,긴급복지 주거지원은 신청하면 기간 제한 없이 계속 지원됩니다.,경계-코퍼스파생,긴급복지 주거지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000917&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|기간조건 삭제,지원 기간에 상한이 있는가|연장 요건이 무엇인가,원문은 위기 상황에 대한 한시 지원이라 기간 조건이 다름,1차검수
B38,경계,문자,농업인 건강보험료는 등록 여부와 관계없이 전액 면제됩니다.,경계-코퍼스파생,농업인건강보험료지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001099&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|등록조건 삭제|지원율 변형,농업경영체 등록이 필요한가|지원 비율이 얼마인가,원문은 등록 여부에 따라 지원 비율이 달라 조건이 다름,1차검수
B39,경계,링크,국가암검진은 모든 암종을 매년 무료로 받으실 수 있습니다.,경계-코퍼스파생,암검진,https://www.cancer.go.kr/lay1/S1T261C262/contents.do,확인불가,없음,실재 제도명|주기 변형|대상 확대,암종별 검진 주기가 어떻게 되는가|대상 연령이 있는가,원문은 암종별 주기·대상 연령이 달라 조건이 다름,1차검수
B40,경계,문자,본인부담금 감경은 신청만 하면 소득과 무관하게 전액 감면됩니다.,경계-코퍼스파생,장기요양 본인부담금 감경,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001177&wlfareInfoReldBztpCd=01,확인불가,없음,실재 제도명|소득조건 삭제|감경률 변형,소득·재산 기준이 있는가|감경 비율이 얼마인가,원문은 소득·재산 기준에 따라 일부를 감경하므로 조건이 다름,1차검수
R01,정상,문자,"[Web발신][전남광주 통합특별시청 청년정책과] 2026년 서구 청년 천원복비 지원사업 신청 - 중개보수 최대 30만원 지원, 본인부담금은 단 1천원 - 2026년 7~12월 접수, 예산 소진 시 조기 종료 ☞ https://m.site.naver.com/2dNkw",실사용원문,전남광주 통합특별시청 청년정책과,,정상,없음,단축URL|예산소진 조기종료|금액 언급,발신 기관이 실제로 보낸 문자인가|링크의 최종 도메인이 발신 기관 공식 도메인인가,실제 수신 문자(코퍼스 대조 문서 없음). ★ 정상 지자체 문자가 네이버 단축 URL 을 쓴다. 단축 URL 을 위험 신호로 잡으면 여기서 오판이 난다.,1차검수
R02,정상,문자,"[Web발신][전남광주 통합특별시청 청년정책과] 광주청년 일경험드림 제20기 참여청년 모집 - 다양한 일경험과 직무교육, 생활임금 지급 기회 - 7월 15일 17시까지 신청 ☞ https://m.site.naver.com/2bD7j",실사용원문,전남광주 통합특별시청 청년정책과,,정상,없음,단축URL|마감시각 명시|금전 지급 언급,발신 기관이 실제로 보낸 문자인가|링크의 최종 도메인이 발신 기관 공식 도메인인가,실제 수신 문자(코퍼스 대조 문서 없음). '생활임금 지급' 이라는 금전 표현과 마감 압박이 함께 있는 정상 문자.,1차검수
R03,정상,문자,[Web발신][광주광역시청 청년정책과] 광주광역시 군복무 청년 상해보험 지원! - 군복무 중 사고·질병 발생 시 보험금 지원 - 보장기간 2026. 1. 20. ~ 2027. 1. 19. ☞ https://m.site.naver.com/20gCn,실사용원문,광주광역시청 청년정책과,,정상,없음,단축URL|보험금 지원,발신 기관이 실제로 보낸 문자인가|링크의 최종 도메인이 발신 기관 공식 도메인인가,실제 수신 문자(코퍼스 대조 문서 없음). 보험금이라는 금융 어휘가 포함된 정상 공공 문자.,1차검수
R04,정상,문자,[Web발신] 동명 - 11월 추천 프로그램 알림. 11월 5일 취업멘토링 페스타 개최. 사전등록 후 행사 당일 참여시 스타벅스 쿠폰 선착순 100명. 신청 : 홈페이지 로그인 후 신청 https://jobstation.co.kr,실사용원문,광주청년일자리스테이션 동명,,정상,없음,선착순 100명|경품 제공|로그인 유도,발신 기관이 실제로 보낸 문자인가|링크의 최종 도메인이 발신 기관 공식 도메인인가,실제 수신 문자(코퍼스 대조 문서 없음). '선착순' 과 '로그인 후 신청' 이 함께 있는 정상 문자. 사칭 패턴과 표면이 비슷하다.,1차검수
R05,정상,문자,"[Web발신] 2025 취업 멘토링 페스타 개최. 취업을 준비하는 청년이라면 절대 놓칠 수 없는 기회! 스탬프 투어 참여 시 선물이 팡팡! 사전 등록 후 행사 참여자 선착순 100명에게 스타벅스 쿠폰 증정! 일시 2025년 11월 5일 13:00~18:00, 장소 광주광역시청 1층",실사용원문,광주청년일자리스테이션 동명,,정상,없음,절대 놓칠 수 없는 기회|선착순|경품,발신 기관이 실제로 보낸 문자인가|링크의 최종 도메인이 발신 기관 공식 도메인인가,실제 수신 문자(코퍼스 대조 문서 없음). 과장 표현이 강한 정상 공공 홍보 문자.,1차검수
R06,정상,문자,"[Web발신][스테이션 동명 | 웰컴 백 이벤트] 11월 한달간 프로그램 참여하면 할수록 혜택이 팡팡! 5시간 초과 달성 시 디저트 지류쿠폰 1만원 상당, 10시간 초과 달성 시 식사 지류쿠폰 2만원 상당. 본 이벤트는 문자 수령자 한정으로 진행됩니다. 자세한건 홈페이지로 https://jobstation.co.kr",실사용원문,광주청년일자리스테이션 동명,,정상,없음,문자 수령자 한정|금액 상당 경품,발신 기관이 실제로 보낸 문자인가|링크의 최종 도메인이 발신 기관 공식 도메인인가,실제 수신 문자(코퍼스 대조 문서 없음). ★ '문자 수령자 한정' 은 사칭에서 자주 쓰는 표현인데 여기서는 정상이다.,1차검수
R07,정상,문자,"(광고)[하나카드] 하나 나라사랑카드 발급받고, 최대 2만원 캐시백! 최대 2만원 캐시백 이벤트 기간 2026.7.1~9.30. 대상 가맹점 맥도날드, CU, 무신사 온라인. 카드발급월 다음달 15일까지 건당 1만원 이상 이용시 1만원 캐시백. 무료수신거부 080-890-1155",실사용원문,하나카드,,정상,없음,카드 발급 유도|캐시백|금액 다수,발신 기관이 실제로 보낸 문자인가|링크의 최종 도메인이 발신 기관 공식 도메인인가,실제 수신 문자(코퍼스 대조 문서 없음). ★ 카드·금액 어휘가 밀집한 정상 금융 광고. 대출빙자형 사기와 어휘가 겹칠 수 있다.,1차검수
R08,정상,문자,"[Web발신](광고)[KT안내] 오늘이 마지막! 갤럭시 Z Fold8/Flip 8 사전예약 최대 176만원 혜택! 512GB를 256GB 가격으로 구매, 휴대폰 즉시할인 쿠폰 최대 10만원, 중고폰 최대 10만원 추가 보상. 사전예약 혜택보기 https://su.kt.co.kr/Al4dv64 [무료수신거부] 080-451-0114",실사용원문,KT,,정상,없음,오늘이 마지막|단축URL|고액 언급,발신 기관이 실제로 보낸 문자인가|링크의 최종 도메인이 발신 기관 공식 도메인인가,실제 수신 문자(코퍼스 대조 문서 없음). ★ '오늘이 마지막' 긴급성 + 단축 URL 조합. 사칭 S05 와 표면 구조가 같다.,1차검수
